ret_col,date,sort_col,economic_group,group_label,sort_mean,portfolio_ret,n_funds
future_ret_6m,2007-12-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9135636112427628,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7019693719073037,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.743206410655791,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.7763532339851604,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.850101548280026,,2
future_ret_6m,2008-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9144859971516068,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7010492139236991,,3
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7494055165473773,,3
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.7692167617760627,,2
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8342574760011999,,3
future_ret_6m,2008-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.8677562836985745,,3
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7358967006972713,,4
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7926019695743046,,3
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8243146653086925,,3
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8645730931318897,,3
future_ret_6m,2008-09-26 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9304936526410398,,4
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7687453274586364,0.45031737879250466,5
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8287165353490078,0.5010936269378007,5
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8709839643053737,0.501246983740457,5
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9064550399964935,0.46885366610449264,5
future_ret_6m,2008-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9549707215246543,0.5236796477999329,5
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6673287307218561,0.18447972310095737,7
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7670389187063081,0.15915101313122282,6
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.832393304370258,0.20945463413309937,6
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8800812773166521,0.1986370320079219,6
future_ret_6m,2009-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9317180413466694,0.17560605217110323,6
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6920056324292815,0.12307712514584594,6
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7717602850797861,0.10117695395293719,6
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8222026350654934,0.1667853861669879,6
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8840820657713353,0.13664629966494476,6
future_ret_6m,2009-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9574524129195737,0.15671002920020985,6
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7357437600140142,0.1412500510822473,8
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8137689243229929,0.132471847736311,7
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8663403478071129,0.16545979639549582,7
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8998398634732562,0.1039046251530138,7
future_ret_6m,2009-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9410844706369014,0.0918971358046321,7
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7471897083188177,-0.1784505689013347,9
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.814210110973074,-0.19582866795077086,9
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8614147252703859,-0.18820218920145015,9
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9051208068869191,-0.18704881325963474,9
future_ret_6m,2009-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9514774586162219,-0.17077274267812648,9
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7182636676060185,-0.007508804527271093,11
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7987906761255377,-0.003351630536594616,10
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8515456699973576,-0.0008667604469304701,10
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8833281526691923,-0.01354778008820846,10
future_ret_6m,2010-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9394750140933734,-0.013029142362467295,10
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7372910779089384,0.24090637643004165,11
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8024958828854848,0.2788152815811463,10
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.854176860697569,0.2614732441082664,10
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8862780520340274,0.24613902489868084,10
future_ret_6m,2010-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9261383075916776,0.25390866978186827,11
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7992403434499136,0.05137570334803545,10
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8633251901709557,0.01334238293361425,10
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.9020412961192514,0.030787609318611242,10
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9275323707188082,0.05950404980874376,10
future_ret_6m,2010-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9761534279264689,0.033885570094869324,10
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7319229123654314,-0.07551252453148466,11
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8085617579528371,-0.050616854542356114,10
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8606566798616444,-0.094204311757138,11
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9041134430634313,-0.07914673222174955,10
future_ret_6m,2010-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.944090195210866,-0.052762346511413497,11
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7102461985025845,-0.1529530775928082,11
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8108982639212652,-0.1552276754831871,10
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8634840247543055,-0.1665795542435134,10
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9124782707047627,-0.1660913841810942,10
future_ret_6m,2011-03-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9612889082635346,-0.1374997732223135,10
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6738154921539782,-0.17567085733181995,11
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7856094388556233,-0.1992390223709525,11
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8460215516172426,-0.19092945079961515,10
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8916922059340329,-0.17368496075973347,11
future_ret_6m,2011-06-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9482044727633354,-0.18701976727350722,11
future_ret_6m,2011-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6757764604475578,-0.060522597210244625,13
future_ret_6m,2011-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8009079758369401,-0.059014440125453614,12
future_ret_6m,2011-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8356618136474957,-0.06358688281394027,12
future_ret_6m,2011-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8723596569503954,-0.07465109559618129,12
future_ret_6m,2011-09-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9247293507084743,-0.07300933869296854,12
future_ret_6m,2011-12-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7161379228346584,0.05368366610932989,14
future_ret_6m,2011-12-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7945042995483999,0.030640708554618017,14
future_ret_6m,2011-12-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8584820599491461,0.045686415828147295,13
future_ret_6m,2011-12-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8968855769105015,0.040755318048115614,14
future_ret_6m,2011-12-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9464056404966215,0.073700126872555,14
future_ret_6m,2012-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6960573039469431,-0.018236407153870895,13
future_ret_6m,2012-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7986809016999424,-0.0037737547484010905,12
future_ret_6m,2012-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8505104210643685,0.000741922407957026,12
future_ret_6m,2012-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8899366794779665,0.01137228014836364,12
future_ret_6m,2012-03-30 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9356213950635165,-0.010612235182402866,13
future_ret_6m,2012-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7146581987989727,0.018208832286425513,15
future_ret_6m,2012-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7867980410159605,0.010654037382582424,14
future_ret_6m,2012-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8465203476880986,0.019344602352694893,15
future_ret_6m,2012-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8798615342319492,6.872433271382095e-05,14
future_ret_6m,2012-06-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9339005928292128,0.005091216258011907,15
future_ret_6m,2012-09-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6605770426932867,0.1041094023042173,16
future_ret_6m,2012-09-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7709192194073787,0.11684418084530933,16
future_ret_6m,2012-09-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8318923000311701,0.11558138946493403,16
future_ret_6m,2012-09-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8892266273551617,0.09254819844831905,16
future_ret_6m,2012-09-28 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9398352485823962,0.09497884621502609,16
future_ret_6m,2012-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.7310314555085659,0.050683249344462375,20
future_ret_6m,2012-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.8337398001674353,0.06729993883267905,19
future_ret_6m,2012-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8705883803862999,0.07195411065429959,20
future_ret_6m,2012-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.9116073656672791,0.04777510951892708,19
future_ret_6m,2012-12-31 00:00:00,FAC_rank_vol_m6_n6_pairwise1,5,High,0.9620698588449763,0.060074595299200804,20
future_ret_6m,2013-03-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,1,Low,0.6730868628993257,0.11399233945359151,22
future_ret_6m,2013-03-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,2,Q2,0.7607092745780769,0.1450572382414108,21
future_ret_6m,2013-03-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,3,Q3,0.8245057110433861,0.12476559565505596,22
future_ret_6m,2013-03-29 00:00:00,FAC_rank_vol_m6_n6_pairwise1,4,Q4,0.8683396118325581,0.1719299881950161,21
