factor,variable,FAC_rank_vol_m3_n6_pairwise1,CtrlRetSTR,CtrlRetLTM,CtrlVol,as_偏股混合型基金,Ctrl_log_fund_size,Ctrl_fund_age,FAC__x__RANK_MEAN,FAC_rank_vol_m6_n3_pairwise1,FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n12_pairwise1,FAC_rank_vol_m12_n6_pairwise1
FAC_rank_vol_m6_n3_pairwise1,CtrlRetLTM,,0.04687779109734469,1.0,0.06245309913271146,-0.024320356738942707,0.13720039398402548,-0.06344209586488557,0.6932982371737535,-0.022220123145585288,,,
FAC_rank_vol_m6_n3_pairwise1,CtrlVol,,-0.011629951368041114,0.06245309913271146,1.0,-0.007046155561176566,-0.08132406500723714,-0.10382744295817282,-0.09563959545576133,-0.2297848697945699,,,
FAC_rank_vol_m6_n3_pairwise1,as_偏股混合型基金,,-0.0031371474707509684,-0.024320356738942707,-0.007046155561176566,1.0,0.22551854618595837,0.2643389882792608,-0.08911502675276615,-0.03417276117615991,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_log_fund_size,,0.03847001412557572,0.13720039398402548,-0.08132406500723714,0.22551854618595837,1.0,0.7459480195196045,0.1177755449428337,0.020168312276488666,,,
FAC_rank_vol_m6_n3_pairwise1,Ctrl_fund_age,,-0.01912003516726006,-0.06344209586488557,-0.10382744295817282,0.2643389882792608,0.7459480195196045,1.0,-0.02392875138410984,0.01672007521248916,,,
FAC_rank_vol_m6_n3_pairwise1,FAC__x__RANK_MEAN,,0.16529196814277397,0.6932982371737535,-0.09563959545576133,-0.08911502675276615,0.1177755449428337,-0.02392875138410984,1.0,0.28607571589694497,,,
FAC_rank_vol_m6_n6_pairwise1,FAC_rank_vol_m6_n6_pairwise1,,0.0014323227487031214,-0.00275859267473417,-0.19980514525431609,-0.019896245343881538,0.018355277925303358,0.026056724209957405,0.2071591919540436,,1.0,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetSTR,,1.0,0.04037899045295926,-0.01569252166463241,-0.006921632378876438,0.03865342462915019,-0.01706647439637487,0.1232941881895849,,0.0014323227487031214,,
FAC_rank_vol_m6_n6_pairwise1,CtrlRetLTM,,0.04037899045295926,1.0,0.05129063300734859,-0.01809206422177676,0.12505296996223925,-0.057127507609473126,0.8249713312678201,,-0.00275859267473417,,
FAC_rank_vol_m6_n6_pairwise1,CtrlVol,,-0.01569252166463241,0.05129063300734859,1.0,-0.0021643094378674,-0.08039496161259795,-0.09848202288062946,-0.04279024343521011,,-0.19980514525431609,,
