estimate_date,forward_start,forward_end,year,valid_fund_count,growth_group_count,value_group_count,dominant_style,growth_style_return,value_style_return,growth_group_return,value_group_return,correct_group,wrong_group,correct_group_return,wrong_group_return,return_diff,benchmark_5050_return,benchmark_minus_wrong
2017-12-22,2017-12-29,2018-01-19,2018,82,27,27,价值,0.022034996759559444,0.07971178320683459,0.0026831020856620054,0.04531622563560087,价值偏向组,成长偏向组,0.04531622563560087,0.0026831020856620054,0.04263312354993887,0.05083355995793415,0.048150457872272144
2018-01-19,2018-01-26,2018-02-23,2018,70,23,23,价值,-0.08774120827507992,-0.07580150312788081,-0.08019270101332622,-0.06368900321054231,价值偏向组,成长偏向组,-0.06368900321054231,-0.08019270101332622,0.016503697802783907,-0.05016819914543591,0.03002450186789031
2018-02-23,2018-03-02,2018-03-23,2018,213,71,71,成长,-0.02814067927441133,-0.0541436942614284,-0.027582382620551623,-0.04827087602417124,成长偏向组,价值偏向组,-0.027582382620551623,-0.04827087602417124,0.020688493403619616,-0.04150336543086919,0.006767510593302051
2018-03-23,2018-03-30,2018-04-27,2018,232,77,77,成长,0.006269064338244146,-0.028201564450395677,0.013905019341365394,-0.007200740747944444,成长偏向组,价值偏向组,0.013905019341365394,-0.007200740747944444,0.02110576008930984,-0.025205884909689447,-0.018005144161745004
2018-04-27,2018-05-04,2018-05-25,2018,233,77,77,价值,0.0035337458958708545,0.010274823964821156,0.019073801406102375,0.024138271431933773,价值偏向组,成长偏向组,0.024138271431933773,0.019073801406102375,0.0050644700258313975,0.00689678361737478,-0.012177017788727595
2018-05-25,2018-06-01,2018-06-22,2018,236,78,78,价值,-0.09965460789011338,-0.046836297030219076,-0.08392076065257018,-0.033430182402035026,价值偏向组,成长偏向组,-0.033430182402035026,-0.08392076065257018,0.05049057825053515,-0.07321582448068154,0.01070493617188864
2018-06-22,2018-06-29,2018-07-20,2018,243,81,81,成长,-0.010194804474848551,-0.039522522383900416,0.017462639538032863,-0.01791351783842098,成长偏向组,价值偏向组,0.017462639538032863,-0.01791351783842098,0.035376157376453846,-0.0253170340051736,-0.007403516166752621
2018-07-20,2018-07-27,2018-08-17,2018,263,87,87,价值,-0.09973004306989197,-0.04874063262073036,-0.09965234117345666,-0.07972743987708031,价值偏向组,成长偏向组,-0.07972743987708031,-0.09965234117345666,0.01992490129637635,-0.07421520608560461,0.025437135087852045
2018-08-17,2018-08-24,2018-09-14,2018,341,113,113,价值,-0.03933669485910518,0.009013712369575266,-0.029046094273883008,-0.01299230322472999,价值偏向组,成长偏向组,-0.01299230322472999,-0.029046094273883008,0.01605379104915302,-0.0144766534975177,0.014569440776365308
2018-09-14,2018-09-21,2018-10-19,2018,351,117,117,价值,-0.0837405086858678,-0.026410125643284155,-0.0706475303481885,-0.03238653151585927,价值偏向组,成长偏向组,-0.03238653151585927,-0.0706475303481885,0.03826099883232924,-0.053560684501845146,0.01708684584634336
2018-10-19,2018-10-26,2018-11-16,2018,389,129,129,成长,0.10182243535602353,0.04014027094159034,0.07800640404719632,0.02884503807925282,成长偏向组,价值偏向组,0.07800640404719632,0.02884503807925282,0.0491613659679435,0.06842026072428786,0.039575222645035046
2018-11-16,2018-11-23,2018-12-14,2018,393,131,131,价值,-0.05265470547106044,-0.02838165246485247,-0.04131132334223612,-0.02070036573011536,价值偏向组,成长偏向组,-0.02070036573011536,-0.04131132334223612,0.02061095761212076,-0.03985826036257267,0.0014530629796634456
2018-12-14,2018-12-21,2019-01-11,2019,406,135,135,成长,-0.012310025764382782,-0.020585834940129222,-0.022315201847445825,-0.022991910497107096,成长偏向组,价值偏向组,-0.022315201847445825,-0.022991910497107096,0.0006767086496612708,-0.016177596005640837,0.0068143144914662584
2019-01-11,2019-01-18,2019-02-15,2019,414,138,138,成长,0.09166258188137788,0.057149510138808424,0.07443960679653916,0.06965748444554867,成长偏向组,价值偏向组,0.07443960679653916,0.06965748444554867,0.0047821223509904864,0.07455754760433098,0.004900063158782303
2019-02-15,2019-02-22,2019-03-15,2019,433,144,144,成长,0.16339481401935485,0.10949440595339066,0.1542476085802585,0.11105380866991049,成长偏向组,价值偏向组,0.1542476085802585,0.11105380866991049,0.043193799910347996,0.13711398131577668,0.026060172645866186
2019-03-15,2019-03-22,2019-04-19,2019,426,142,142,价值,0.03724425254481023,0.03866852729822012,0.013981919246215996,0.045166212818582796,价值偏向组,成长偏向组,0.045166212818582796,0.013981919246215996,0.0311842935723668,0.09403475230006597,0.08005283305384997
2019-04-19,2019-04-26,2019-05-24,2019,422,140,140,价值,-0.15127968013681614,-0.1375008793094291,-0.11759683864974453,-0.10531791343792078,价值偏向组,成长偏向组,-0.10531791343792078,-0.11759683864974453,0.012278925211823749,-0.14348933380143047,-0.025892495151685943
2019-05-24,2019-05-31,2019-06-28,2019,435,145,145,成长,0.09419788917905936,0.06309349136850173,0.10475516495114856,0.0894432353106861,成长偏向组,价值偏向组,0.10475516495114856,0.0894432353106861,0.015311929640462463,0.05351382521558423,-0.035929410095101866
2019-06-28,2019-07-05,2019-07-26,2019,441,147,147,成长,0.008857457313709238,0.0028466849788666426,0.0334761464355569,0.024318220799622075,成长偏向组,价值偏向组,0.0334761464355569,0.024318220799622075,0.009157925635934826,0.0058520711462883845,-0.01846614965333369
2019-07-26,2019-08-02,2019-08-23,2019,449,149,149,成长,0.008977543774800312,-0.03176168128953294,0.04033877112160677,0.012225536902034314,成长偏向组,价值偏向组,0.04033877112160677,0.012225536902034314,0.028113234219572455,-0.01133120637660845,-0.023556743278642763
2019-08-23,2019-08-30,2019-09-27,2019,446,148,148,成长,0.01346194163028791,-0.016341163567330952,0.034227773065476794,0.008168713117405815,成长偏向组,价值偏向组,0.034227773065476794,0.008168713117405815,0.02605905994807098,0.008939962707089633,0.0007712495896838173
2019-09-27,2019-10-11,2019-11-01,2019,417,139,139,价值,0.03180222470308158,0.03373882756677826,0.030334930375315036,0.0363780693128626,价值偏向组,成长偏向组,0.0363780693128626,0.030334930375315036,0.006043138937547567,0.023804319381842465,-0.006530610993472571
2019-11-01,2019-11-08,2019-11-29,2019,412,137,137,成长,-0.022924884697711145,-0.026506855876300306,-0.005224894397620393,-0.016870939320351983,成长偏向组,价值偏向组,-0.005224894397620393,-0.016870939320351983,0.01164604492273159,-0.024652927347134646,-0.007781988026782663
2019-11-29,2019-12-06,2019-12-27,2019,354,118,118,成长,0.06591614989700201,0.051622196170113765,0.06924734404158442,0.05646306998094674,成长偏向组,价值偏向组,0.06924734404158442,0.05646306998094674,0.01278427406063768,0.05903345601269838,0.002570386031751644
2019-12-27,2020-01-03,2020-02-07,2020,357,119,119,成长,0.05652652963680449,-0.027165499028479645,0.10377477260797485,0.04036644227042962,成长偏向组,价值偏向组,0.10377477260797485,0.04036644227042962,0.06340833033754523,-0.02258488967220207,-0.0629513319426317
2020-02-07,2020-02-14,2020-03-06,2020,286,95,95,成长,0.0704854226334728,0.051413036518657584,0.06632020472825216,0.06872490963272637,成长偏向组,价值偏向组,0.06632020472825216,0.06872490963272637,-0.0024047049044742114,0.06136216361062696,-0.007362746022099409
2020-03-06,2020-03-13,2020-04-03,2020,317,105,105,价值,-0.10932897938276354,-0.10417081564701847,-0.11111224147617928,-0.09212202142576559,价值偏向组,成长偏向组,-0.09212202142576559,-0.11111224147617928,0.01899022005041369,-0.10688470556973595,0.004227535906443328
2020-04-03,2020-04-10,2020-05-08,2020,389,129,129,成长,0.06954972682550031,0.01372000219707914,0.06641379399841459,0.0539874010233179,成长偏向组,价值偏向组,0.06641379399841459,0.0539874010233179,0.012426392975096685,0.070077845799702,0.016090444776384098
2020-05-08,2020-05-15,2020-06-05,2020,402,134,134,成长,0.02846608672810036,0.002682972374016712,0.03382679876910285,0.026395698340115188,成长偏向组,价值偏向组,0.03382679876910285,0.026395698340115188,0.007431100428987661,0.01652213184590212,-0.009873566494213067
2020-06-05,2020-06-12,2020-07-10,2020,400,133,133,成长,0.19510888192494713,0.11745335926707523,0.20686926675038916,0.17189940960017053,成长偏向组,价值偏向组,0.20686926675038916,0.17189940960017053,0.034969857150218636,0.16693199432902928,-0.004967415271141251
2020-07-10,2020-07-17,2020-08-07,2020,440,146,146,成长,0.0016646000075148937,-0.013804080588544654,0.03113764240310021,0.03127024607363515,成长偏向组,价值偏向组,0.03113764240310021,0.03127024607363515,-0.00013260367053493857,-0.006043207472645085,-0.03731345354628023
2020-08-07,2020-08-14,2020-09-04,2020,456,152,152,成长,0.018452731521947152,0.0039532526671244295,0.000642191438013912,0.021630824854753674,成长偏向组,价值偏向组,0.000642191438013912,0.021630824854753674,-0.02098863341673976,0.011284274681442108,-0.010346550173311566
2020-09-04,2020-09-11,2020-10-09,2020,459,153,153,价值,-0.030529334124611673,-0.008834251637661716,-0.008944818073806262,-0.016483253424557438,价值偏向组,成长偏向组,-0.016483253424557438,-0.008944818073806262,-0.007538435350751176,-0.017205437443224558,-0.008260619369418297
2020-10-09,2020-10-16,2020-11-06,2020,488,162,162,价值,0.03712417662478118,0.04960802952450205,0.0373667446855178,0.03975816532675783,价值偏向组,成长偏向组,0.03975816532675783,0.0373667446855178,0.0023914206412400246,0.0432642157602412,0.0058974710747233955
2020-11-06,2020-11-13,2020-12-04,2020,515,171,171,价值,0.024296848832683127,0.04674499155294631,0.0015615726850332727,0.02782273964507951,价值偏向组,成长偏向组,0.02782273964507951,0.0015615726850332727,0.026261166960046236,0.03540484559930146,0.03384327291426819
2020-12-04,2020-12-11,2021-01-08,2021,521,173,173,成长,0.1061845536718693,-0.020199817621141536,0.1332634478620626,0.043082636018227954,成长偏向组,价值偏向组,0.1332634478620626,0.043082636018227954,0.09018081184383464,0.0701792406005195,0.027096604582291545
2021-01-08,2021-01-15,2021-02-05,2021,510,170,170,成长,0.009757842114106685,-0.017275997224240114,0.0029117688967254126,0.012438679939201794,成长偏向组,价值偏向组,0.0029117688967254126,0.012438679939201794,-0.00952691104247638,-0.0034607419685490637,-0.015899421907750858
2021-02-05,2021-02-19,2021-03-12,2021,529,176,176,价值,-0.16181789167609306,0.012168414356394708,-0.16928891546731115,-0.08249887069856761,价值偏向组,成长偏向组,-0.08249887069856761,-0.16928891546731115,0.08679004476874354,-0.027172471324193315,0.14211644414311783
2021-03-12,2021-03-19,2021-04-09,2021,632,210,210,成长,7.918710227405867e-05,-0.028338481896900913,0.002266203717649457,-0.000628438255059815,成长偏向组,价值偏向组,0.002266203717649457,-0.000628438255059815,0.002894641972709272,-0.014632730297130858,-0.014004292042071043
2021-04-09,2021-04-16,2021-05-07,2021,646,215,215,成长,0.011493013555084586,-0.007971076844563219,0.02488741007856524,0.004336987463649103,成长偏向组,价值偏向组,0.02488741007856524,0.004336987463649103,0.020550422614916138,0.001556550774775456,-0.002780436688873647
2021-05-07,2021-05-14,2021-06-04,2021,646,215,215,成长,0.08160059960026667,0.009964273376712018,0.09644052611311718,0.047122847908364865,成长偏向组,价值偏向组,0.09644052611311718,0.047122847908364865,0.049317678204752316,0.045377979483861575,-0.0017448684245032903
2021-06-04,2021-06-11,2021-07-02,2021,656,218,218,成长,-0.010551391838224511,-0.04360392802568158,0.024759065427596844,-0.005204561828770928,成长偏向组,价值偏向组,0.024759065427596844,-0.005204561828770928,0.02996362725636777,-0.02619937693885166,-0.020994815110080733
2021-07-02,2021-07-09,2021-07-30,2021,665,221,221,成长,-0.0284075257454387,-0.07151836805469525,0.013237488485236149,-0.013068657394119915,成长偏向组,价值偏向组,0.013237488485236149,-0.013068657394119915,0.026306145879356063,-0.05020110431244085,-0.03713244691832093
2021-07-30,2021-08-06,2021-08-27,2021,517,172,172,价值,-0.018398559639140832,0.06193993763652439,-0.011917435747985549,0.016169518080319255,价值偏向组,成长偏向组,0.016169518080319255,-0.011917435747985549,0.028086953828304805,0.021302984690916515,0.03322042043890207
2021-08-27,2021-09-03,2021-09-24,2021,531,177,177,价值,-0.0005597240217886101,0.04183834336176462,-0.014060852654849975,-0.0058620217437614945,价值偏向组,成长偏向组,-0.0058620217437614945,-0.014060852654849975,0.00819883091108848,0.021226156133448137,0.035287008788298116
2021-09-24,2021-10-08,2021-10-29,2021,548,182,182,成长,0.016201915993543148,-0.030048189049111107,0.0187337408388163,0.008750894771152018,成长偏向组,价值偏向组,0.0187337408388163,0.008750894771152018,0.009982846067664282,-0.01132111056387386,-0.02007200533502588
2021-10-29,2021-11-05,2021-11-26,2021,512,170,170,成长,0.014242013861228475,-0.020434066237277948,0.002518660365133449,0.006481038863763799,成长偏向组,价值偏向组,0.002518660365133449,0.006481038863763799,-0.00396237849863035,-0.0033328033255271006,-0.009813842189290899
2021-11-26,2021-12-03,2021-12-24,2021,489,163,163,价值,0.0009378107381685652,0.04138746931713011,-0.022529835392338902,0.011588891221252085,价值偏向组,成长偏向组,0.011588891221252085,-0.022529835392338902,0.034118726613590986,0.021087074765961944,0.043616910158300846
