fund_code,selected_count,correct_count,wrong_count,avg_forward_return,avg_excess_vs_5050,win_rate_vs_5050,correct_rate,mean_net_exposure,exposure_vol,mean_abs_net_exposure,exposure_p10,exposure_p90,exposure_range_p90_p10,is_stable_selected,is_stable_outperform,is_stable,is_dynamic_style
3813,17,7,10,0.0033520081761703965,0.014023708186824054,0.7647058823529411,0.4117647058823529,0.0558562290722951,0.03445389939425751,0.05870453123241856,0.00476872164577612,0.08337475925768374,0.07860603761190763,False,False,False,False
5523,17,7,10,0.0019023366212370075,0.009930549212683763,0.7058823529411765,0.4117647058823529,0.06093600286596196,0.035264220599962565,0.06093600286596195,0.009017122080297655,0.1014585420949146,0.09244142001461694,False,False,False,False
5524,17,7,10,0.0016589049738620926,0.009687117565308849,0.7058823529411765,0.4117647058823529,0.06133103933401881,0.03520259107616833,0.06133103933401881,0.009486561364702476,0.1019647760463635,0.09247821468166102,False,False,False,False
4434,18,7,11,0.006370321907074903,0.010916252810676918,0.6666666666666666,0.3888888888888889,0.7544832723565028,0.13990351807144089,0.7544832723565028,0.5775164321493128,0.9157729229731328,0.33825649082382003,False,False,False,False
4435,18,7,11,0.005966838969355083,0.010512769872957097,0.6666666666666666,0.3888888888888889,0.7543911509234864,0.1394627859029919,0.7543911509234864,0.5772101656597419,0.9155417493980382,0.3383315837382963,False,False,False,False
5004,22,7,15,0.007792908457705658,0.0022960618778645244,0.5,0.3181818181818182,0.612287914454841,0.4803399987243347,0.7403856863591022,-0.3290633900717244,0.9704442616527884,1.2995076517245128,False,False,False,False
3697,24,7,17,0.005076769787137887,-0.011281912381556158,0.375,0.2916666666666667,0.12684391146096785,0.02919032344681279,0.12684391146096785,0.1069250326219681,0.15351358006079943,0.046588547438831326,False,False,False,False
2331,24,7,17,0.010741926856801517,-0.012868274277673508,0.4166666666666667,0.2916666666666667,0.1430140917882111,0.09033438830875425,0.15622426220977353,0.02064865060634613,0.22531165168222236,0.20466300107587623,False,False,False,False
6251,8,6,2,0.03378137881765801,0.030119423712343413,0.5,0.75,0.9426790355140452,0.04345086152678358,0.9426790355140452,0.9119229114266536,0.9921340093823244,0.08021109795567083,False,False,False,False
5495,9,6,3,0.049785892389568195,0.03380973188496,0.8888888888888888,0.6666666666666666,0.9178617124590601,0.03453026265057695,0.9178617124590601,0.8800731547154353,0.9604413391018733,0.080368184386438,False,False,False,False
5496,9,6,3,0.04887321833765025,0.03289705783304205,0.8888888888888888,0.6666666666666666,0.9165017006644821,0.034185755958313364,0.9165017006644821,0.8787831280471248,0.9586058711966751,0.07982274314955029,False,False,False,False
932,9,6,3,-0.0016592180348681633,0.013520325184610906,0.6666666666666666,0.6666666666666666,0.12778232517067634,0.020998475524715933,0.12778232517067634,0.10435597444299176,0.15784709471595368,0.05349112027296192,False,False,False,False
933,9,6,3,-0.0020011728580456114,0.013178370361433458,0.6666666666666666,0.6666666666666666,0.1286786083879782,0.021272174579941128,0.1286786083879782,0.1054768679571458,0.15945853741924543,0.05398166946209963,False,False,False,False
4616,9,6,3,0.02375921071077785,-0.011449379948335146,0.1111111111111111,0.6666666666666666,0.8893262757555724,0.15483977726447465,0.8893262757555725,0.6643191473545701,1.0,0.3356808526454299,False,False,False,False
5763,9,6,3,0.023117792565292967,-0.012090798093820028,0.1111111111111111,0.6666666666666666,0.8884046519834545,0.1550487135167001,0.8884046519834546,0.6630992000279399,1.0,0.3369007999720601,False,False,False,False
2593,10,6,4,0.010775973025590602,0.008710580377052957,0.6,0.6,0.39039273730745705,0.21278802291278018,0.39566025501306573,0.18601415443713043,0.7828679183153429,0.5968537638782124,False,True,False,False
4913,10,6,4,0.004806772464774877,-0.00363861931646261,0.3,0.6,-0.06149677490980822,0.018782486127892416,0.061496774909808205,-0.08404189974208125,-0.036774623671722115,0.04726727607035913,False,False,False,False
4914,10,6,4,0.004728019175821252,-0.003717372605416236,0.3,0.6,-0.061829658022633724,0.018774496991078485,0.06182965802263374,-0.08420153422992135,-0.03709490090383031,0.047106633326091045,False,False,False,False
1605,11,6,5,-0.002633937263215379,-0.004715672302907067,0.45454545454545453,0.5454545454545454,0.35434676930078907,0.23841472155231055,0.3715504401479656,0.0028125241113587255,0.6809193192092912,0.6781067950979325,False,False,False,False
3622,11,6,5,-0.010250968939883077,-0.006941765524639573,0.18181818181818182,0.5454545454545454,0.6899086596775891,0.19991371144298575,0.6899086596775893,0.43623883928523516,0.9496255122829288,0.5133866729976937,False,False,False,False
3623,11,6,5,-0.010329419358154174,-0.00702021594291067,0.18181818181818182,0.5454545454545454,0.6862811397928738,0.2020062384245461,0.6862811397928739,0.42674871855907226,0.9499314179561609,0.5231826993970886,False,False,False,False
1189,11,6,5,0.011821766592122439,-0.01770069704382588,0.5454545454545454,0.5454545454545454,0.15592197844661482,0.05343397590590694,0.15752056522420113,0.09577566854777068,0.19977874474950327,0.10400307620173259,False,False,False,False
3299,13,6,7,0.016540907459846384,0.0216776700215741,0.6923076923076923,0.46153846153846156,0.2769709490463332,0.2770963910555781,0.30885555825238253,-0.08058971406952725,0.651564972938724,0.7321546870082511,False,False,False,False
4279,13,6,7,0.0022363207699769125,0.008576918118917339,0.6923076923076923,0.46153846153846156,0.13126217495406678,0.05530696501806024,0.1312621749540668,0.0754785406358331,0.18046448606355214,0.10498594542771904,False,False,False,False
4280,13,6,7,0.0021650320923322086,0.008505629441272635,0.6923076923076923,0.46153846153846156,0.1312816602513448,0.055143764105637774,0.1312816602513448,0.07554260749266709,0.17999088550151468,0.1044482780088476,False,False,False,False
